,MacroHFT (baseline),Dynamic Hybrid (default),Dynamic Hybrid (aggressive),Dynamic Hybrid (conservative)
Total Trades,30.0,18.0,18.0,18.0
Profitable Trades,19.0,12.0,12.0,12.0
Losing Trades,11.0,6.0,6.0,6.0
Win Rate,0.6333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666
Avg Profit/Trade,0.8808414400000042,7.8417152000000065,7.5959858000000064,6.953635133333336
Avg Win,4.688300042105269,15.579709066666672,14.852779700000008,15.061821500000008
Avg Loss,-5.695677963636363,-7.634272533333321,-6.917601999999998,-9.262737600000008
Profit Factor,1.421775046219418,4.081517655714124,4.294198972418481,3.2521317455867464
Expectancy,0.8808414400000042,7.8417152000000065,7.5959858000000064,6.953635133333336
SQN,0.7277355298116989,2.1277654774735595,2.0816343144394507,1.819500371653236
Total Profit,24.338785200000245,139.97786040000022,135.55448640000026,123.99217440000018
Total Return,0.060454639954014885,0.38662534857343545,0.37440778424052146,0.3424721417429109
Annualized Return,0.15057329199009617,1.1838182795891918,1.1381208333899746,1.0213164299184792
Sharpe Ratio,0.8678899724178049,3.6432440218307462,3.425375029677868,3.0587929857209835
Sortino Ratio,0.4682985194792758,2.9678603624338797,3.056810890331013,2.807252290647825
Max Drawdown,0.08933256567643492,0.09770361309177074,0.09544888860770169,0.09637563414761216
Max Drawdown Duration,82018.0,93740.0,72911.0,125297.0
Calmar Ratio,1.6855364093703173,12.116422741472814,11.923877270773591,10.597247312056039
Total Fees,4.167214800000001,2.3901396,2.3915136,2.3938256
