date,tic,action,price,shares
2021-01-05,QQQ,sell,303.71966552734375,0.0
2021-01-06,QQQ,sell,299.512451171875,0.0
2021-01-07,QQQ,sell,306.7582702636719,0.0
2021-01-08,QQQ,sell,310.7025146484375,0.0
2021-01-11,QQQ,sell,306.21282958984375,0.0
2021-01-12,QQQ,buy,305.72589111328125,16.88735008239746
2021-01-13,QQQ,sell,307.7905578613281,16.88735008239746
2021-01-14,QQQ,sell,306.1446838378906,0.0
2021-01-15,QQQ,sell,303.71966552734375,0.0
2021-01-19,QQQ,buy,308.15087890625,19.474197387695312
2021-01-20,QQQ,sell,315.31878662109375,19.474197387695312
2021-01-21,QQQ,buy,317.8411865234375,50.66918182373047
2021-01-22,QQQ,sell,316.92572021484375,50.66918182373047
2021-01-25,QQQ,sell,319.5455322265625,0.0
2021-01-26,QQQ,sell,320.012939453125,0.0
2021-01-27,QQQ,sell,311.09210205078125,0.0
2021-01-28,QQQ,sell,312.9327087402344,0.0
2021-01-29,QQQ,sell,306.3492126464844,0.0
2021-02-01,QQQ,sell,314.00396728515625,0.0
2021-02-02,QQQ,sell,319.1266784667969,0.0
2021-02-03,QQQ,sell,317.8606262207031,0.0
2021-02-04,QQQ,sell,321.6198425292969,0.0
2021-02-05,QQQ,buy,322.71063232421875,100.0
2021-02-08,QQQ,buy,324.87274169921875,100.0
2021-02-09,QQQ,sell,324.8044738769531,5.100101947784424
2021-02-10,QQQ,buy,324.06439208984375,52.42799377441406
2021-02-11,QQQ,buy,325.8466491699219,100.0
2021-02-12,QQQ,sell,327.6678466796875,100.0
2021-02-16,QQQ,sell,326.78155517578125,36.3690299987793
2021-02-17,QQQ,sell,325.2135314941406,100.0
2021-02-18,QQQ,buy,323.7917175292969,87.70222473144531
2021-02-19,QQQ,buy,322.37945556640625,100.0
2021-02-22,QQQ,sell,314.0235290527344,52.35288619995117
2021-02-23,QQQ,buy,313.0885314941406,29.39686393737793
2021-02-24,QQQ,sell,315.6694030761719,95.62501525878906
2021-02-25,QQQ,sell,304.664306640625,100.0
2021-02-26,QQQ,buy,305.9401550292969,85.03043365478516
2021-03-01,QQQ,sell,315.1434326171875,100.0
2021-03-02,QQQ,sell,310.0888977050781,39.425880432128906
2021-03-03,QQQ,buy,301.090087890625,6.443778991699219
2021-03-04,QQQ,buy,296.16217041015625,100.0
2021-03-05,QQQ,sell,300.6227111816406,92.92320251464844
2021-03-08,QQQ,buy,292.11077880859375,98.21590423583984
2021-03-09,QQQ,buy,303.6320495605469,24.032718658447266
2021-03-10,QQQ,sell,302.76519775390625,60.80583190917969
2021-03-11,QQQ,buy,309.7383728027344,44.5687370300293
2021-03-12,QQQ,buy,307.22564697265625,86.0461654663086
2021-03-15,QQQ,sell,310.50775146484375,99.39588165283203
2021-03-16,QQQ,buy,312.2120056152344,100.0
2021-03-17,QQQ,buy,313.4975891113281,45.26295852661133
2021-03-18,QQQ,buy,303.8949279785156,100.0
2021-03-19,QQQ,buy,304.96630859375,61.08014678955078
2021-03-22,QQQ,sell,310.685302734375,36.12548065185547
2021-03-23,QQQ,buy,309.3298645019531,97.73780822753906
2021-03-24,QQQ,buy,304.11297607421875,8.310595512390137
2021-03-25,QQQ,sell,303.58642578125,39.42070388793945
2021-03-26,QQQ,buy,308.1402587890625,58.649051666259766
2021-03-29,QQQ,buy,308.0525207519531,100.0
2021-03-30,QQQ,sell,306.5019836425781,19.401973724365234
2021-03-31,QQQ,sell,311.19244384765625,41.982521057128906
2021-04-01,QQQ,sell,316.4971008300781,96.57658386230469
2021-04-05,QQQ,sell,322.8158874511719,100.0
